header,price,subtitle
"3-комнатная квартира, 87.2 м², 2/5 этаж",32000000,"Казыбек би р-н, мкр Юго-Восток"
"3-комнатная квартира, 91.95 м², 3/5 этаж",24366750,"Алихана Бокейханова р-н, Муканова 43"
"2-комнатная квартира, 48 м², 1/5 этаж",8500000,"Алихана Бокейханова р-н, мкр Майкудук, 15й микрорайон 20"
"4-комнатная квартира, 89.9 м², 7/20 этаж",23000000,"Казыбек би р-н, Волочаевская 44/1"
"2-комнатная квартира, 45 м², 5/5 этаж",9500000,"Алихана Бокейханова р-н, мкр Майкудук, 14й микрорайон 43"
"2-комнатная квартира, 57 м², 7/10 этаж",19800000,"Казыбек би р-н, Ашимова"
"3-комнатная квартира, 87.6 м², 5/16 этаж",35000000,"Казыбек би р-н, мкр Юго-Восток, Степной 3 52"
"1-комнатная квартира, 31.5 м², 3/5 этаж",10100000,"Алихана Бокейханова р-н, мкр Майкудук 45"
"2-комнатная квартира, 55.4 м², 9/9 этаж",18900000,"Казыбек би р-н, мкр Юго-Восток, Гапеева 17/4"
"1-комнатная квартира, 29.1 м², 5/5 этаж",6500000,"Алихана Бокейханова р-н, Локомотивная 153"
"2-комнатная квартира, 70 м²",от 24500000,"Казыбек би р-н, Университетская 17/3"
"3-комнатная квартира, 108.1 м²",от 30808500,"Казыбек би р-н, Муканова 55/2"
"2-комнатная квартира, 54 м², 3/10 этаж",26000000,"Казыбек би р-н, мкр Юго-Восток, 30й микрорайон, ул.гапеева 16"
"2-комнатная квартира, 60 м², 1/3 этаж",27500000,"Казыбек би р-н, Алтын арка 19 — Таттимбета"
"3-комнатная квартира, 58 м², 4/5 этаж",26000000,"Казыбек би р-н, мкр Новый Город, Назарбаева"
"3-комнатная квартира, 58.6 м², 3/5 этаж",25500000,"Казыбек би р-н, мкр Новый Город, Нуркена Абдирова 36/1 — Гоголя"
"2-комнатная квартира, 45 м², 2/5 этаж",17000000,"Казыбек би р-н, мкр Новый Город, Ерубаева 33а"
"2-комнатная квартира, 44.4 м², 5/5 этаж",14000000,"Алихана Бокейханова р-н, Микрорайон Восток 1 15"
"2-комнатная квартира, 62.6 м², 3/16 этаж",24000000,"Казыбек би р-н, мкр Юго-Восток, проспект Шахтеров 46/1"
"1-комнатная квартира, 41 м², 1/7 этаж",11700000,"Алихана Бокейханова р-н, Мкр Голубые Пруды 13"
"1-комнатная квартира, 41 м², 1/7 этаж",11700000,"Казыбек би р-н, Мкр Голубые Пруды 13"
"4-комнатная квартира, 145.5 м², 5/5 этаж",52000000,"Казыбек би р-н, мкр Юго-Восток, Таттимбета 16/1"
"3-комнатная квартира, 55.3 м²",20888888,"Казыбек би р-н, мкр Новый Город, Гастелло"
"3-комнатная квартира, 63 м², 5/5 этаж",21000000,"Казыбек би р-н, мкр Юго-Восток, 27й микрорайон 13 — Язева"
"2-комнатная квартира, 60.47 м², 5/5 этаж",21000000,"Казыбек би р-н, мкр Юго-Восток, Степной 1 49/6"
"4-комнатная квартира, 145.5 м², 5/5 этаж",52000000,"Казыбек би р-н, мкр Юго-Восток, Гульдер 2"
"1-комнатная квартира, 31 м², 5/5 этаж",19000000,"Казыбек би р-н, Камали Дюсембекова 63"
"3-комнатная квартира, 60.5 м², 5/5 этаж",19800000,"Казыбек би р-н, мкр Новый Город, Ермекова 85"
"4-комнатная квартира, 91.7 м², 5/5 этаж",58000000,"Казыбек би р-н, Гоголя 53/1"
"2-комнатная квартира, 50 м², 1/5 этаж",23000000,"Казыбек би р-н, мкр Новый Город 235/2"
"2-комнатная квартира, 45 м², 5/5 этаж",20000000,"Казыбек би р-н, мкр Юго-Восток"
"2-комнатная квартира, 47 м², 1/5 этаж",20000000,"Казыбек би р-н, мкр Юго-Восток, проспект Строителей"
"4-комнатная квартира, 140 м²",37500000,"Казыбек би р-н, мкр Кунгей   32/1 — Назира Турекулова"
"3-комнатная квартира, 65 м², 1/5 этаж",27500000,"Казыбек би р-н, мкр Юго-Восток, Муканова 80 — Татимбетта"
"1-комнатная квартира, 42 м², 2/5 этаж",11928000,"Казыбек би р-н, Муканова 19/2"
"2-комнатная квартира, 67 м², 3/5 этаж",19028000,"Казыбек би р-н, Муканова"
"4-комнатная квартира, 109.7 м², 2/5 этаж",31154800,"Казыбек би р-н, Муканова 51/4"
"4-комнатная квартира, 109.7 м², 3/5 этаж",31154800,"Казыбек би р-н, Муканова 19/2"
"3-комнатная квартира, 87.2 м², 2/5 этаж",24764800,"Казыбек би р-н, Муканова 19/2"
"1-комнатная квартира, 42 м², 3/5 этаж",11928000,"Казыбек би р-н, Муканова"
"2-комнатная квартира, 67 м², 3/5 этаж",19028000,"Казыбек би р-н, Муканова 51/4"
"3-комнатная квартира, 87.2 м², 3/5 этаж",24764800,"Казыбек би р-н, Муканова 51/4"
"2-комнатная квартира, 46 м², 3/5 этаж",12000000,"Алихана Бокейханова р-н, мкр Майкудук, 17й микрорайон 46"
"3-комнатная квартира, 60 м², 5 этаж",23000000,"Казыбек би р-н, мкр Михайловка , Мкр Михайловка, Крылова 24"
"1-комнатная квартира, 38.5 м², 4/5 этаж",25000000,"Казыбек би р-н, мкр Юго-Восток 49/10"
"3-комнатная квартира, 111.8 м²",от 29627000,"Казыбек би р-н, Университетская 17/3"
"1-комнатная квартира, 36.3 м²",от 11253000,"Казыбек би р-н, Муканова 55/2"
"3-комнатная квартира, 47.5 м², 3/5 этаж",14200000,"Алихана Бокейханова р-н, 15 микрорайон"
"3-комнатная квартира, 78 м², 1/5 этаж",27000000,"Казыбек би р-н, мкр Юго-Восток, Степной 1"
"1-комнатная квартира, 30.1 м², 1/4 этаж",7800000,"Алихана Бокейханова р-н, мкр Майкудук, Архитектурная 3"
"3-комнатная квартира, 63 м², 7/9 этаж",25000000,"Казыбек би р-н, мкр Юго-Восток, Муканова 18"
"4-комнатная квартира, 88 м², 5/5 этаж",40000000,"Казыбек би р-н, мкр Новый Город 51/1"
"4-комнатная квартира, 61 м², 5/5 этаж",24000000,"Казыбек би р-н, Республика"
"3-комнатная квартира, 67.3 м², 3/10 этаж",35000000,"Казыбек би р-н, Сатыбалдина"
"3-комнатная квартира, 119 м², 1 этаж",43500000,"Казыбек би р-н, мкр Юго-Восток, Таттимбета 16/1"
"2-комнатная квартира, 63.8 м², 3 этаж",28900000,"Казыбек би р-н, мкр Новый Город, Гоголя 56/1"
"2-комнатная квартира, 60.5 м², 5/10 этаж",26000000,"Казыбек би р-н, Сарыарка 31"
"4-комнатная квартира, 115.2 м², 1/9 этаж",27500000,"Казыбек би р-н, Гапеева — Муканова"
