header,price,subtitle
"2-комнатная квартира, 51 м², 8/9 этаж",12000000,"Алихана Бокейханова р-н, мкр Майкудук, 19й микрорайон 75"
"4-комнатная квартира, 80 м², 9/9 этаж",23500000,"Казыбек би р-н, мкр Новый Город, Республики 4"
"2-комнатная квартира, 50 м², 1/5 этаж",23000000,"Казыбек би р-н, мкр Михайловка  43"
"3-комнатная квартира, 62 м², 3/5 этаж",15500000,"Алихана Бокейханова р-н, Маметовой 93 — Сортировка"
"2-комнатная квартира, 60 м², 1/10 этаж",25000000,"Казыбек би р-н, мкр Юго-Восток, Сарыарка 31"
"3-комнатная квартира, 62.7 м², 2/5 этаж",28000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, мкр Гульдер 2 14"
"1-комнатная квартира, 36 м², 2/5 этаж",11200000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Восток-1 5"
"2-комнатная квартира, 45 м², 2/5 этаж",13250000,"Алихана Бокейханова р-н, 12-й мкр 39"
"3-комнатная квартира, 60 м², 3/4 этаж",20000000,"Казыбек би р-н, Терешковой 41 — Назарбаева"
"2-комнатная квартира, 49 м², 1/5 этаж",20000000,"Казыбек би р-н, мкр Новый Город 83/2 — Ермекова"
"1-комнатная квартира, 34.9 м², 1/5 этаж",12500000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Восток-3 — Сахалин"
"3-комнатная квартира, 61.9 м², 5/5 этаж",22500000,"Казыбек би р-н, мкр Юго-Восток, 29й микрорайон 8"
"2-комнатная квартира, 45 м², 5/5 этаж",13000000,"Алихана Бокейханова р-н, мкр Пришахтинск, 23й микрорайон 25"
"2-комнатная квартира, 45 м², 5/5 этаж",17000000,"Казыбек би р-н, мкр Новый Город, Алиханова 30/1"
"3-комнатная квартира, 59.1 м², 8/9 этаж",22000000,"Казыбек би р-н, Орбита 32"
"1-комнатная квартира, 32 м², 4/4 этаж",12000000,"Казыбек би р-н, мкр Михайловка , Сакена Сейфуллина 22"
"3-комнатная квартира, 65 м², 5/5 этаж",12500000,"Алихана Бокейханова р-н, мкр Майкудук, 14й микрорайон 35"
"2-комнатная квартира, 46 м², 1/5 этаж",15000000,"Алихана Бокейханова р-н, мкр Майкудук, 17й микрорайон 48 — Бирюзова, Магнитогоркая"
"1-комнатная квартира, 38 м², 6/9 этаж",16500000,"Казыбек би р-н, Республики 4 — Муканова"
"2-комнатная квартира, 59.9 м², 3/10 этаж",27000000,"Казыбек би р-н, мкр Юго-Восток, Сарыарка 31"
"3-комнатная квартира, 90 м², 2/2 этаж",17000000,"Алихана Бокейханова р-н, мкр Старый Майкудук 28 — Белинского"
"3-комнатная квартира, 65 м², 5/5 этаж",13300000,"Алихана Бокейханова р-н, мкр Майкудук, 12й микрорайон 67а"
"2-комнатная квартира, 45.3 м², 1/5 этаж",15000000,"Казыбек би р-н, мкр Новый Город, Ул.Мустафина 5 — Аэлита"
"3-комнатная квартира, 80 м², 1/2 этаж",41000000,"Казыбек би р-н, Мустафина 16/2"
"4-комнатная квартира, 76.8 м², 4/9 этаж",36000000,"Казыбек би р-н, мкр Юго-Восток 18 — Пр. Республики"
"4-комнатная квартира, 82.3 м², 8/10 этаж",26300000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, мкр Голубые пруды 13"
"3-комнатная квартира, 59.1 м², 8/9 этаж",22000000,"Казыбек би р-н, Орбита 32"
"3-комнатная квартира, 86 м², 5/5 этаж",37000000,"Казыбек би р-н, Гоголя 53/1"
"1-комнатная квартира, 30 м², 5/9 этаж",18000000,"Казыбек би р-н, мкр Новый Город, Пр.Н.Абдирова 20 — ул.Ерубаева"
"2-комнатная квартира, 46 м², 5/5 этаж",11500000,13 микрорайон 42
"2-комнатная квартира, 46 м², 1/5 этаж",17000000,"Казыбек би р-н, мкр Юго-Восток, 29й микрорайон 6/2 — Муканова"
"3-комнатная квартира, 52 м², 4/5 этаж",12000000,"Алихана Бокейханова р-н, Дружбы 127"
"4-комнатная квартира, 64 м², 2/5 этаж",19500000,"Алихана Бокейханова р-н, мкр Майкудук, 13й микрорайон 10 — Сталилитейная"
"3-комнатная квартира, 63 м², 4/5 этаж",23000000,"Казыбек би р-н, Муканова 2"
"3-комнатная квартира, 63 м², 4/5 этаж",22000000,"Казыбек би р-н, Муканова 2"
"3-комнатная квартира, 58 м², 3/5 этаж",19800000,"Казыбек би р-н, мкр Новый Город, Абдирова 39"
"3-комнатная квартира, 73 м², 8/9 этаж",25800000,"Казыбек би р-н, мкр Юго-Восток, Мкр Орбита 16"
"3-комнатная квартира, 60.2 м², 8/9 этаж",23999000,"Казыбек би р-н, мкр Юго-Восток, Муканова"
"3-комнатная квартира, 47 м², 4/5 этаж",12600000,"Алихана Бокейханова р-н, мкр Пришахтинск, 23й микрорайон 35"
"3-комнатная квартира, 65 м², 7/10 этаж",28000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, 27й микрорайон 9 — Шахтеров"
"4-комнатная квартира, 74 м², 5/5 этаж",24700000,"Казыбек би р-н, мкр Михайловка , Крылова 34"
"4-комнатная квартира, 78 м²",38000000,"Казыбек би р-н, мкр Новый Город, Назарбаева 51"
"2-комнатная квартира, 45 м², 2/5 этаж",15500000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Восток-2 7"
"3-комнатная квартира, 62 м², 3/330 этаж",8500000,"Алихана Бокейханова р-н, мкр Пришахтинск, Библиотечная 32"
"3-комнатная квартира, 62 м², 3/3 этаж",8500000,"Алихана Бокейханова р-н, мкр Пришахтинск, Библиотечная"
"2-комнатная квартира, 44 м², 1/5 этаж",12500000,"Алихана Бокейханова р-н, мкр Майкудук, Магнитогорская 47 — Бирюзова"
"2-комнатная квартира, 45.8 м², 1/5 этаж",9000000,"Алихана Бокейханова р-н, мкр Майкудук, 12 мкр 41"
"4-комнатная квартира, 115 м², 10/21 этаж",45000000,"Казыбек би р-н, мкр Юго-Восток, проспект Шахтеров 52б"
"2-комнатная квартира, 61 м², 10/10 этаж",24500000,"Казыбек би р-н, мкр Юго-Восток 31 — Шахтёров - Приканальная"
"1-комнатная квартира, 33 м², 4/5 этаж",14000000,"Казыбек би р-н, мкр Юго-Восток, Проспект Республики 24"
"4-комнатная квартира, 63 м², 4/5 этаж",14500000,"Алихана Бокейханова р-н, мкр Майкудук, 13й микрорайон 4"
"4-комнатная квартира, 80 м², 10/10 этаж",25200000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Голубые пруды 13"
"2-комнатная квартира, 60.5 м², 5/10 этаж",16000000,"Алихана Бокейханова р-н, мкр Майкудук, Белинский 2"
"3-комнатная квартира, 60 м², 1/5 этаж",15500000,"Алихана Бокейханова р-н, мкр Майкудук, Кузенбаева 58"
"2-комнатная квартира, 54 м², 4/9 этаж",17000000,"Алихана Бокейханова р-н, мкр Майкудук, Восток-3 5"
"2-комнатная квартира, 62 м², 6/10 этаж",16000000,"Алихана Бокейханова р-н, мкр Майкудук, Ул.Белинского 2"
"1-комнатная квартира, 38.3 м², 8/9 этаж",12000000,"Казыбек би р-н, Б.  Жырау 96"
"3-комнатная квартира, 41 м², 1/2 этаж",11000000,"Алихана Бокейханова р-н, мкр Майкудук 51 — Белинского"
"2-комнатная квартира, 55 м², 1/9 этаж",23000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, мкр Степной 3 3"
"2-комнатная квартира, 44 м², 1/3 этаж",9500000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук,ул.  Архитектурная 2"
"3-комнатная квартира, 62 м², 4/5 этаж",15000000,"Алихана Бокейханова р-н, мкр Майкудук, 15й микрорайон 15 — Остановка Горняк"
"2-комнатная квартира, 47 м², 3/5 этаж",19900000,"Казыбек би р-н, мкр Юго-Восток, Строителей 29 Строителей 29"
"2-комнатная квартира, 48 м², 4/5 этаж",12500000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 17й микрорайон 39""а"""
"3-комнатная квартира, 64 м², 4/5 этаж",14500000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 13й микрорайон 7"
"3-комнатная квартира, 60 м², 3/5 этаж",23000000,"Казыбек би р-н, мкр Юго-Восток, ул Гапеева 13"
"1-комнатная квартира, 31 м², 4/5 этаж",11400000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, мкр Восток-1 14 — Умай ануар"
"1-комнатная квартира, 33.9 м², 1/9 этаж",8000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 11а микрорайон 24"
"2-комнатная квартира, 44.5 м², 1/5 этаж",16900000,"Казыбек би р-н, мкр Юго-Восток, 28й микрорайон — Сатыбалдина"
"2-комнатная квартира, 88.4 м², 2/6 этаж",30000000,"Алихана Бокейханова р-н, Голубые пруды 5/4"
"2-комнатная квартира, 53 м², 5/5 этаж",22222222,"Алихана Бокейханова р-н, Микрорайон Голубые Пруды 11"
"3-комнатная квартира, 150 м², 1/3 этаж",150000000,"Казыбек би р-н, Ботаническая 12"
"2-комнатная квартира, 44.3 м², 5/5 этаж",16000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Восток-1 6/2 — Мамыраева"
"2-комнатная квартира, 47.2 м², 3/5 этаж",16500000,"Казыбек би р-н, мкр Михайловка , Ержанова 29"
"2-комнатная квартира, 48 м², 1/5 этаж",12500000,"Алихана Бокейханова р-н, мкр Пришахтинск, 23й микрорайон"
"2-комнатная квартира, 52 м², 3/5 этаж",23500000,"Казыбек би р-н, мкр Юго-Восток, Степной 2 2"
"2-комнатная квартира, 48.8 м², 4/5 этаж",18800000,"Казыбек би р-н, Штурманская улица 1/7"
"3-комнатная квартира, 68 м², 3/9 этаж",29000000,"Казыбек би р-н, мкр Юго-Восток, Мкр. Гульдер-1 15"
"2-комнатная квартира, 47.2 м², 2/5 этаж",11300000,"Алихана Бокейханова р-н, 21 мкр."
"2-комнатная квартира, 43.7 м², 4/5 этаж",18000000,Бухар-Жырау 56
"2-комнатная квартира, 56 м², 1/4 этаж",20000000,"Казыбек би р-н, мкр Новый Город, Терешковой 38"
"2-комнатная квартира, 58 м², 10/10 этаж",30500000,"Казыбек би р-н, мкр Юго-Восток, Гульдер 2 6"
"1-комнатная квартира, 34.2 м², 3/9 этаж",15000000,"Казыбек би р-н, мкр Юго-Восток, Сатыбалдина 18"
"2-комнатная квартира, 65 м², 5/16 этаж",29500000,"Казыбек би р-н, Шахтеров 60"
"2-комнатная квартира, 53.9 м², 7/10 этаж",22500000,"Казыбек би р-н, мкр Юго-Восток, 28й микрорайон 11/2"
"3-комнатная квартира, 68 м², 2/10 этаж",33500000,"Казыбек би р-н, мкр Новый Город, Ермекова 106А"
"3-комнатная квартира, 62.7 м², 3/5 этаж",15800000,"Алихана Бокейханова р-н, 14 мкр"
"2-комнатная квартира, 47.6 м², 1/5 этаж",15000000,"Казыбек би р-н, Орлова 107"
"3-комнатная квартира, 68 м², 8/9 этаж",30000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Степной 1 47"
"4-комнатная квартира, 80 м², 6/9 этаж",39000000,"Казыбек би р-н, мкр Юго-Восток, Степной 2 1"
"3-комнатная квартира, 74.6 м², 2/2 этаж",12000000,"Алихана Бокейханова р-н, мкр Майкудук, Щорса 34"
"2-комнатная квартира, 54 м², 8/9 этаж",20000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, мкр Степной 1 33"
"2-комнатная квартира, 46.5 м², 2/5 этаж",11600000,"Алихана Бокейханова р-н, мкр Майкудук, 13 мкрн 42"
"2-комнатная квартира, 45.6 м², 2/3 этаж",15500000,"Казыбек би р-н, мкр Фёдоровка"
"2-комнатная квартира, 46 м², 4/5 этаж",12000000,"Алихана Бокейханова р-н, мкр Майкудук, 16й микрорайон 5"
"1-комнатная квартира, 30 м², 2/5 этаж",14000000,"Казыбек би р-н, мкр Юго-Восток, Республики 30"
"2-комнатная квартира, 44.6 м², 2/5 этаж",15000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, мкр Восток-1 13"
"2-комнатная квартира, 43 м², 5/5 этаж",18000000,"Казыбек би р-н, Ерубаева 50"
"2-комнатная квартира, 51.9 м², 8/9 этаж",16800000,"Казыбек би р-н, Университетская улица 29 — Муканова"
"1-комнатная квартира, 31 м², 4/5 этаж",14800000,"Казыбек би р-н, Сатыбалдина 23"
"4-комнатная квартира, 78 м², 6/9 этаж",20000000,"Алихана Бокейханова р-н, мкр Майкудук, 15й микрорайон 2/1"
"2-комнатная квартира, 75 м², 5/16 этаж",30000000,"Казыбек би р-н, Бауыржана Момышулы 24"
"1-комнатная квартира, 33 м², 3/5 этаж",14500000,"Казыбек би р-н, Касыма Аманжолова 17"
"3-комнатная квартира, 68 м², 4/5 этаж",24000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, мкр волочаевская 35"
"1-комнатная квартира, 37.2 м², 1/5 этаж",8000000,"Алихана Бокейханова р-н, 14 микрорайон 10/2 — 50лет Казахстана"
"4-комнатная квартира, 63 м², 5/5 этаж",18000000,"Алихана Бокейханова р-н, мкр Майкудук, 19й микрорайон 53"
"3-комнатная квартира, 63 м², 6/6 этаж",17950000,"Алихана Бокейханова р-н, мкр Майкудук, 19й микрорайон"
"3-комнатная квартира, 61 м², 4/5 этаж",15500000,"Алихана Бокейханова р-н, мкр Майкудук, 14й микрорайон 40"
"3-комнатная квартира, 96 м², 3/10 этаж",38000000,"Казыбек би р-н, мкр Новый Город, Волочаевская 3"
"3-комнатная квартира, 60 м², 1/2 этаж",7800000,"Алихана Бокейханова р-н, 50лет Казахстана с Доскей 5"
"1-комнатная квартира, 31 м², 5/5 этаж",7500000,"Алихана Бокейханова р-н, мкр Пришахтинск, 21й микрорайон 24/4"
"2-комнатная квартира, 44 м², 3/5 этаж",19000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, Карбышева"
"3-комнатная квартира, 74 м², 9/9 этаж",23000000,"Казыбек би р-н, мкр Новый Город, проспект Н. Назарбаева 43"
"1-комнатная квартира, 31 м², 1/5 этаж",10000000,"Алихана Бокейханова р-н, мкр Пришахтинск, Зелинского"
"3-комнатная квартира, 78 м², 5/10 этаж",27000000,"Казыбек би р-н, Байкена Ашимова 4 — Бауыржана Момышулы"
"2-комнатная квартира, 45 м², 5/5 этаж",10000000,"Алихана Бокейханова р-н, мкр Старый Майкудук 11"
"1-комнатная квартира, 31 м², 4/5 этаж",9500000,"Алихана Бокейханова р-н, мкр Пришахтинск, Мкр Пришахтинск, 22й микрорайон 9"
"3-комнатная квартира, 62.4 м², 5/5 этаж",23000000,"Казыбек би р-н, мкр Фёдоровка  105"
"2-комнатная квартира, 45 м², 5/5 этаж",18150000,"Казыбек би р-н, Лободы 25"
"3-комнатная квартира, 89 м², 5/5 этаж",25000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Орбита 24"
"3-комнатная квартира, 59 м², 1/5 этаж",8000000,"Алихана Бокейханова р-н, Мирная 10/1 — Район ЖБИ"
"3-комнатная квартира, 90 м², 7/10 этаж",26000000,"Казыбек би р-н, мкр Новый Город, Ермекова 106/6 — Ермекова"
"4-комнатная квартира, 80 м², 3/5 этаж",38000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, мкр Степной 4 16"
"4-комнатная квартира, 90 м², 7/10 этаж",36000000,"Казыбек би р-н, Степной 4 3"
"3-комнатная квартира, 62 м², 1/9 этаж",20000000,"Алихана Бокейханова р-н, Белинского"
"1-комнатная квартира, 34 м², 5/5 этаж",13500000,"Казыбек би р-н, мкр Юго-Восток, Муканова — Республика-Муканова"
"2-комнатная квартира, 60 м², 7/11 этаж",30000000,"Казыбек би р-н, мкр Юго-Восток, Сарыарка 19"
"3-комнатная квартира, 62 м², 3/9 этаж",26000000,"Казыбек би р-н, мкр Новый Город 25 — Нуркен Абдирова 25"
"1-комнатная квартира, 41 м², 3/3 этаж",25000000,"Казыбек би р-н, мкр Кунгей  , Ондасынова 8 8"
"3-комнатная квартира, 68 м², 5/9 этаж",19900000,"Алихана Бокейханова р-н, мкр Майкудук, 19й микрорайон 49 — Карла Маркса"
"2-комнатная квартира, 44.2 м², 4/5 этаж",12000000,"Алихана Бокейханова р-н, мкр Майкудук 46"
"2-комнатная квартира, 50 м², 5/5 этаж",14000000,"Алихана Бокейханова р-н, мкр Майкудук, 16й микрорайон 5"
"1-комнатная квартира, 33 м², 3/5 этаж",15000000,"Казыбек би р-н, Нуркена Абдирова"
"2-комнатная квартира, 44 м², 1/5 этаж",8000000,"Алихана Бокейханова р-н, мкр Майкудук, 15-мкр 8"
"2-комнатная квартира, 47 м², 1/5 этаж",17000000,"Казыбек би р-н, мкр Городской Аэропорт 1/1"
"4-комнатная квартира, 62.3 м², 3/5 этаж",24000000,"Казыбек би р-н, мкр Юго-Восток, 28й микрорайон 22"
"4-комнатная квартира, 93 м², 5/5 этаж",30000000,"Алихана Бокейханова р-н, Восток-3 9"
"1-комнатная квартира, 36 м², 5/9 этаж",13000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, мкр Мамыраева 22"
"2-комнатная квартира, 46 м², 2/3 этаж",14000000,"Казыбек би р-н, Орлова 103"
"3-комнатная квартира, 50 м², 1/2 этаж",8300000,"Алихана Бокейханова р-н, Победы"
"3-комнатная квартира, 63 м², 3/5 этаж",14600000,"Алихана Бокейханова р-н, мкр Майкудук, 16й микрорайон"
"2-комнатная квартира, 50.3 м², 2/9 этаж",20000000,Нуркена Абдирова 36/4
"2-комнатная квартира, 47 м², 4/9 этаж",20000000,Карбышева 15/2
"1-комнатная квартира, 30.2 м², 4/5 этаж",13500000,"Казыбек би р-н, Рыскулова 1"
"2-комнатная квартира, 42 м², 4/4 этаж",16500000,"Казыбек би р-н, Лободы — Ерубаева"
"2-комнатная квартира, 54.7 м², 6/20 этаж",25000000,"Казыбек би р-н, мкр Новый Город, Камали Дуйсенбекова 44/2"
"4-комнатная квартира, 76 м², 1/5 этаж",38000000,"Казыбек би р-н, мкр Новый Город, Пр. Н. Назарбаева"
"2-комнатная квартира, 44 м², 3/5 этаж",14500000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 17й микрорайон 49"
"2-комнатная квартира, 49 м², 2/5 этаж",21000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, мкр Степной 1 42"
"3-комнатная квартира, 58.2 м², 1/5 этаж",27000000,"Казыбек би р-н, Кривогуза 59"
"3-комнатная квартира, 64 м², 2/5 этаж",28500000,"Казыбек би р-н, мкр Юго-Восток, Таттимбета"
"4-комнатная квартира, 62 м², 5/5 этаж",21400000,"Казыбек би р-н, мкр Юго-Восток, Муканова"
"1-комнатная квартира, 30 м², 5/5 этаж",6300000,"Алихана Бокейханова р-н, мкр Майкудук 44"
"2-комнатная квартира, 47 м², 1/5 этаж",8800000,"Алихана Бокейханова р-н, мкр Майкудук, 13й микрорайон 8"
"1-комнатная квартира, 35 м², 5/5 этаж",7000000,"Алихана Бокейханова р-н, 12-й мкр 1"
"3-комнатная квартира, 102 м², 4/5 этаж",41000000,"Казыбек би р-н, Нуркен Абдирова — Мустафина"
"3-комнатная квартира, 56.8 м², 5/5 этаж",17500000,"Алихана Бокейханова р-н, мкр Пришахтинск 24/1"
"1-комнатная квартира, 60 м², 9/9 этаж",17500000,"Казыбек би р-н, Муканова 21/3"
"3-комнатная квартира, 55 м², 2/2 этаж",13000000,"Алихана Бокейханова р-н, мкр Майкудук, Щорса 30"
"3-комнатная квартира, 63 м², 9/9 этаж",27500000,"Казыбек би р-н, мкр Юго-Восток, Степной 2 5"
"1-комнатная квартира, 36 м², 5/5 этаж",11000000,"Алихана Бокейханова р-н, мкр Пришахтинск, Зелинского 24/1 — Зелинского"
"2-комнатная квартира, 45 м², 5/5 этаж",16300000,"Казыбек би р-н, Ержанова 31 — Полевая"
"3-комнатная квартира, 58.7 м², 4/5 этаж",16000000,"Алихана Бокейханова р-н, мкр Пришахтинск, 21й микрорайон 27/28"
"2-комнатная квартира, 48 м², 1/5 этаж",12500000,Восток 2 11
"3-комнатная квартира, 62 м², 2/5 этаж",13700000,"Алихана Бокейханова р-н, мкр Майкудук, 15й микрорайон 18"
"3-комнатная квартира, 57.8 м², 4/5 этаж",14000000,"Алихана Бокейханова р-н, мкр Майкудук, 17й микрорайон Бирюзова 1 — Магнитагорская"
"3-комнатная квартира, 90 м², 16/16 этаж",37000000,"Казыбек би р-н, мкр Юго-Восток, Шахтёров"
"1-комнатная квартира, 37 м², 4/9 этаж",13600000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Мамыраева 22"
"2-комнатная квартира, 41.8 м², 5/9 этаж",16700000,"Казыбек би р-н, мкр Новый Город, Ержанова 12"
"4-комнатная квартира, 61.3 м², 1/5 этаж",21000000,"Казыбек би р-н, мкр Юго-Восток, Муканова"
"1-комнатная квартира, 35.2 м², 9/9 этаж",14300000,"Казыбек би р-н, мкр Юго-Восток, Пр. Республики 18"
"1-комнатная квартира, 31.6 м², 5/5 этаж",8700000,"Алихана Бокейханова р-н, 12 мкр 21"
"3-комнатная квартира, 55 м², 1/5 этаж",14500000,"Алихана Бокейханова р-н, мкр Майкудук, Бирюзова"
"2-комнатная квартира, 54 м², 2/5 этаж",26800000,"Казыбек би р-н, мкр Юго-Восток, Степной 1 6/44"
"2-комнатная квартира, 44.7 м², 2/5 этаж",11000000,"Алихана Бокейханова р-н, 14-й мкр 32"
"2-комнатная квартира, 47 м², 1/5 этаж",10000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 13й микрорайон 35"
"1-комнатная квартира, 42 м², 3/10 этаж",16500000,"Казыбек би р-н, мкр Юго-Восток, Таттимбета"
"2-комнатная квартира, 52.2 м², 3/3 этаж",25000000,"Казыбек би р-н, мкр Новый Город 11 — Назарбаева"
"2-комнатная квартира, 67 м²",18700000,"Казыбек би р-н, Ботаническая 12/12"
"3-комнатная квартира, 74 м², 4/9 этаж",26000000,"Казыбек би р-н, мкр Юго-Восток, Гапеева 16"
"1-комнатная квартира, 35.7 м², 3/9 этаж",13800000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, мкр Мамыраева 22"
"2-комнатная квартира, 42.5 м², 1/5 этаж",11700000,"Алихана Бокейханова р-н, мкр Майкудук 41"
"4-комнатная квартира, 106 м², 4/9 этаж",40300000,"Казыбек би р-н, Таттимбета 3/11"
"2-комнатная квартира, 44.1 м², 4/5 этаж",9500000,"Алихана Бокейханова р-н, мкр Майкудук 24"
"3-комнатная квартира, 90.5 м², 8/16 этаж",40000000,"Казыбек би р-н, мкр Юго-Восток, Шахтеров 52"
"2-комнатная квартира, 54 м², 7/9 этаж",22000000,"Казыбек би р-н, мкр Юго-Восток, 27й микрорайон 10"
"2-комнатная квартира, 59 м², 4/5 этаж",18000000,"Казыбек би р-н, Степной-1 25"
"1-комнатная квартира, 33 м², 2/5 этаж",13900000,"Казыбек би р-н, мкр Новый Город, Мкр Новый Город, Лободы 48"
"2-комнатная квартира, 44.1 м², 3/5 этаж",9000000,"Алихана Бокейханова р-н, мкр Майкудук, 14й микрорайон 17"
"1-комнатная квартира, 32 м²",10000000,"Казыбек би р-н, Ермекова"
"2-комнатная квартира, 44.4 м², 4/5 этаж",18500000,"Казыбек би р-н, мкр Новый Город, Ерубаева 33"
"1-комнатная квартира, 34 м², 4/5 этаж",9000000,"Алихана Бокейханова р-н, мкр Пришахтинск, 21й микрорайон 6"
"2-комнатная квартира, 54 м², 3/10 этаж",17500000,"Казыбек би р-н, проспект Республики 1/4"
"3-комнатная квартира, 84 м², 1/5 этаж",29300000,"Казыбек би р-н, мкр Юго-Восток, Степной 2 2"
"2-комнатная квартира, 43 м², 2/5 этаж",13500000,"Алихана Бокейханова р-н, мкр Пришахтинск, Зелинского 24/1"
"1-комнатная квартира, 35 м², 12/20 этаж",13000000,"Казыбек би р-н, мкр Юго-Восток, Волочаевская 44/1"
"3-комнатная квартира, 42 м², 4/4 этаж",10000000,"Алихана Бокейханова р-н, Жекибаева 140"
"2-комнатная квартира, 48 м², 1 этаж",10000000,"Алихана Бокейханова р-н, Победы 102а"
"1-комнатная квартира, 29.4 м², 2/5 этаж",8500000,"Алихана Бокейханова р-н, мкр Пришахтинск, 21й микрорайон"
"2-комнатная квартира, 40.2 м², 5/5 этаж",13000000,"Алихана Бокейханова р-н, мкр Майкудук, Магнитогорская 47"
"2-комнатная квартира, 56 м², 5/5 этаж",48830000,"Казыбек би р-н, Лободы 3А — Бухар Жырау"
"3-комнатная квартира, 80 м², 4/4 этаж",65999999,"Казыбек би р-н, Бухар Жырау 74"
"2-комнатная квартира, 44.3 м², 5/5 этаж",10000000,"Алихана Бокейханова р-н, мкр Пришахтинск, 22й микрорайон"
"3-комнатная квартира, 64 м², 1/10 этаж",30000000,"Казыбек би р-н, мкр Юго-Восток, Гульдер 1 1"
"1-комнатная квартира, 31 м², 5/5 этаж",12500000,"Казыбек би р-н, мкр Новый Город 39 — проспект Нуркена Абдирова"
"2-комнатная квартира, 46 м², 1/3 этаж",11800000,"Алихана Бокейханова р-н, мкр Майкудук, Архитектурная 2"
"2-комнатная квартира, 47 м², 5/5 этаж",11000000,"Алихана Бокейханова р-н, мкр Пришахтинск, 23й микрорайон"
"4-комнатная квартира, 80 м², 8/10 этаж",40200000,"Казыбек би р-н, мкр Юго-Восток, Степной 3 6/2"
"4-комнатная квартира, 69 м², 3/9 этаж",24000000,"Казыбек би р-н, проспект Строителей 25"
"2-комнатная квартира, 50.5 м², 8/20 этаж",27000000,"Казыбек би р-н, Волочаевская 44/1"
"3-комнатная квартира, 50 м², 2/5 этаж",17200000,"Казыбек би р-н, Ул.Гапеева 25"
"3-комнатная квартира, 58.1 м², 9/9 этаж",20000000,"Казыбек би р-н, мкр Новый Город, Пр. Н. Абдирова 19 — Гоголя"
"2-комнатная квартира, 45 м², 3/5 этаж",10000000,15 микрорайон 20
"1-комнатная квартира, 33 м², 2/5 этаж",8500000,"Алихана Бокейханова р-н, мкр Майкудук, Шахтёрский 120"
"3-комнатная квартира, 82.3 м², 2/2 этаж",9000000,Кржижановского 21
"3-комнатная квартира, 63.1 м², 5/5 этаж",25000000,"Казыбек би р-н, Назарбаева 51"
"3-комнатная квартира, 62 м², 1/9 этаж",30000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Степной 2 4/4"
"3-комнатная квартира, 64 м², 3/10 этаж",35000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Степной 3 6/1"
"3-комнатная квартира, 93 м², 5/6 этаж",29500000,"Казыбек би р-н, Ермекова 106"
"3-комнатная квартира, 86 м², 1/10 этаж",45500000,"Казыбек би р-н, мкр Юго-Восток, Степной 3 1/10"
"2-комнатная квартира, 45 м², 4/4 этаж",18000000,"Казыбек би р-н, мкр Новый Город, Мкр Новый Город, Терешковой 34"
"1-комнатная квартира, 34 м², 3/5 этаж",11800000,"Казыбек би р-н, мкр Городской Аэропорт, Штурманская 1/7"
"2-комнатная квартира, 43 м², 4/5 этаж",12000000,"Алихана Бокейханова р-н, мкр Майкудук, 12й микрорайон 6"
"2-комнатная квартира, 65 м², 2/4 этаж",27500000,"Казыбек би р-н, Ержанова 18/6 — Ермекова"
"1-комнатная квартира, 37 м², 7/10 этаж",15500000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Голубые Пруды 5"
"2-комнатная квартира, 53 м², 1/5 этаж",22000000,"Казыбек би р-н, мкр Новый Город, Ерубаева 50 /2 50/2 — Алиханова"
"4-комнатная квартира, 62 м², 2/5 этаж",19500000,"Казыбек би р-н, Республики 38"
